year,school,file,housing_concern_count,total_students,percent_housing_concern
2022,Carver High School,2022_761 - Carver High School.xls,6,69,8.695652173913043
2023,Carver High School,2023_761 - Carver High School.xls,11,221,4.97737556561086
2024,Carver High School,2024_761 - Carver High School.xls,17,455,3.7362637362637363
2022,Carver High School Early College,2022_761 - G.W. Carver High School Early College.xls,42,572,7.3426573426573425
2023,Carver High School Early College,2023_761 - Carver High School Early College.xls,30,504,5.952380952380952
2024,Carver High School Early College,2024_761 - Carver High School Early College.xls,23,503,4.572564612326044
2022,Judson Price Middle School,2022_761 - Judson Price Middle School.xls,3,5,60.0
2023,Judson Price Middle School,2023_761 - Judson Price Middle School.xls,0,2,0.0
2024,Judson Price Middle School,2024_761 - Judson Price Middle School.xls,24,227,10.572687224669604
2022,Sylvan Hills Middle School,2022_761 - Sylvan Hills Middle School.xls,13,399,3.258145363408521
2023,Sylvan Hills Middle School,2023_761 - Sylvan Hills Middle School.xls,18,265,6.7924528301886795
2024,Sylvan Hills Middle School,2024_761 - Sylvan Hills Middle School.xls,24,397,6.045340050377834
