school,housing_concern_count,total_students,percent_housing_concern,lat,lon
Atlanta Classical Academy,36,748,4.81283422459893,33.84378,-84.407711
Atlanta Neighborhood Charter - Middle,45,504,8.928571428571429,33.732522,-84.355146
B.E.S.T Academy,21,282,7.446808510638298,33.788712000000004,-84.479439
Benjamin E. Mays High School,42,885,4.745762711864407,33.7339,-84.5038
Booker T. Washington High School,61,793,7.6923076923076925,33.75363711,-84.42089632
Carver High School,17,455,3.736263736263736,33.719134000000004,-84.38906
Carver High School Early College,23,503,4.572564612326044,33.719100000000005,-84.3888
Centennial Place Academy (Charter),21,202,10.396039603960396,33.7697,-84.39540000000001
Coretta Scott King Young Women's Leadership Academy,33,346,9.53757225433526,33.789300000000004,-84.47930000000001
Crawford Long Middle School,31,608,5.098684210526316,33.6665,-84.3944
D. M. Therrell High School,60,1198,5.008347245409015,33.69902325,-84.48985555
David T Howard Middle School,49,909,5.39053905390539,33.758849,-84.369043
Frederick Douglass High School,48,971,4.94335736354274,33.7612,-84.4681
Hank Aaron New Beginnings Academy,10,191,5.235602094240837,33.675164,-84.398488
Herman J. Russell West End Academy,33,379,8.70712401055409,33.7341,-84.42110000000001
Hillside Conant School,9,83,10.843373493975903,33.7903,-84.36540000000001
Jean Childs Young Middle School,29,509,5.697445972495088,33.7327,-84.4895
John Lewis Invictus Academy,38,649,5.855161787365177,33.774616,-84.44793200000001
Judson Price Middle School,24,227,10.572687224669604,33.7089,-84.3874
KIPP Soul Academy,22,234,9.401709401709402,33.793978,-84.498402
KIPP VISION Charter School,14,238,5.88235294117647,33.704354,-84.354758
KIPP WAYS Academy Charter School,17,297,5.723905723905724,33.764520000000005,-84.42272100000001
Kindezi Old 4th Ward,4,93,4.301075268817205,33.7682,-84.374561
Kipp Atlanta Collegiate Charter School,42,645,6.511627906976744,33.7562,-84.4512
Kipp Strive Charter School,14,232,6.0344827586206895,33.7421,-84.43480000000001
Martin L. King Jr. Middle School,50,877,5.701254275940707,33.7386,-84.3806
Maynard Jackson High School,77,1223,6.295993458708095,33.7393,-84.3619
Michael R. Hollis Innovation Academy,20,172,11.627906976744184,33.760760000000005,-84.41205000000001
Midtown High School,64,1424,4.49438202247191,33.7806,-84.37140000000001
North Atlanta High School,82,1947,4.21160760143811,33.8668,-84.4456
Ralph Bunche Middle School,35,791,4.424778761061947,33.7013,-84.53070000000001
South Atlanta High School,56,923,6.067172264355363,33.671005,-84.36176
Sylvan Hills Middle School,24,397,6.045340050377834,33.7153,-84.4191
The Kindezi School,12,115,10.434782608695652,33.754816,-84.513549
Wesley International Academy Charter,15,275,5.454545454545454,33.746662,-84.380944
Westside Atlanta Charter School,10,115,8.695652173913043,33.80476748,-84.46182179
Willis A. Sutton Middle School,70,1363,5.135730007336757,33.8322,-84.4067
Woodson Park Academy School,15,207,7.246376811594203,33.773042000000004,-84.439369
