file,sheet,row,column,matched_text
761 - Atlanta Classical Academy.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Atlanta Neighborhood Charter - Middle.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - B.E.S.T Academy.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Benjamin E. Mays High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Booker T. Washington High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Carver High School Early College.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Carver High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Centennial Place Academy _Charter_.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Coretta Scott King Young Women_s Leadership Academy.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Crawford Long Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - D. M. Therrell High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - David T Howard Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Frederick Douglass High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Hank Aaron New Beginnings Academy.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Herman J. Russell West End Academy.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Hillside Conant School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Jean Childs Young Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - John Lewis Invictus Academy.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Judson Price Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Kindezi Old 4th Ward.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Kipp Atlanta Collegiate Charter School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - KIPP Soul Academy.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Kipp Strive Charter School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - KIPP VISION Charter School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - KIPP WAYS Academy Charter School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Martin L. King Jr. Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Maynard Jackson High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Michael R. Hollis Innovation Academy.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Midtown High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - North Atlanta High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Ralph Bunche Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - South Atlanta High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Sylvan Hills Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - The Kindezi School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Wesley International Academy Charter.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Westside Atlanta Charter School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Willis A. Sutton Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
761 - Woodson Park Academy School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
