NAME,CITY,STATE,LAT,LON
Atlanta Classical Academy,Atlanta,GA,33.84378,-84.407711
Atlanta Neighborhood Charter - Middle,Atlanta,GA,33.732522,-84.355146
B.E.S.T Academy,Atlanta,GA,33.788712000000004,-84.479439
Benjamin E. Mays High School,Atlanta,GA,33.7339,-84.5038
Booker T. Washington High School,Atlanta,GA,33.75363711,-84.42089632
Carver High School,Atlanta,GA,33.719134000000004,-84.38906
Carver High School Early College,Atlanta,GA,33.719100000000005,-84.3888
Centennial Place Academy (Charter),Atlanta,GA,33.7697,-84.39540000000001
Coretta Scott King Young Women's Leadership Academy,Atlanta,GA,33.789300000000004,-84.47930000000001
Crawford Long Middle School,Atlanta,GA,33.6665,-84.3944
D. M. Therrell High School,Atlanta,GA,33.69902325,-84.48985555
David T Howard Middle School,Atlanta,GA,33.758849,-84.369043
Frederick Douglass High School,Atlanta,GA,33.7612,-84.4681
Hank Aaron New Beginnings Academy,Atlanta,GA,33.675164,-84.398488
Herman J. Russell West End Academy,Atlanta,GA,33.7341,-84.42110000000001
Hillside Conant School,Atlanta,GA,33.7903,-84.36540000000001
Jean Childs Young Middle School,Atlanta,GA,33.7327,-84.4895
John Lewis Invictus Academy,Atlanta,GA,33.774616,-84.44793200000001
Judson Price Middle School,Atlanta,GA,33.7089,-84.3874
KIPP Soul Academy,Atlanta,GA,33.793978,-84.498402
KIPP VISION Charter School,Atlanta,GA,33.704354,-84.354758
KIPP WAYS Academy Charter School,Atlanta,GA,33.764520000000005,-84.42272100000001
Kindezi Old 4th Ward,Atlanta,GA,33.7682,-84.374561
Kipp Atlanta Collegiate Charter School,Atlanta,GA,33.7562,-84.4512
Kipp Strive Charter School,Atlanta,GA,33.7421,-84.43480000000001
Martin L. King Jr. Middle School,Atlanta,GA,33.7386,-84.3806
Maynard Jackson High School,Atlanta,GA,33.7393,-84.3619
Michael R. Hollis Innovation Academy,Atlanta,GA,33.760760000000005,-84.41205000000001
Midtown High School,Atlanta,GA,33.7806,-84.37140000000001
North Atlanta High School,Atlanta,GA,33.8668,-84.4456
Ralph Bunche Middle School,Atlanta,GA,33.7013,-84.53070000000001
South Atlanta High School,Atlanta,GA,33.671005,-84.36176
Sylvan Hills Middle School,Atlanta,GA,33.7153,-84.4191
The Kindezi School,Atlanta,GA,33.754816,-84.513549
Wesley International Academy Charter,Atlanta,GA,33.746662,-84.380944
Westside Atlanta Charter School,Atlanta,GA,33.80476748,-84.46182179
Willis A. Sutton Middle School,Atlanta,GA,33.8322,-84.4067
Woodson Park Academy School,Atlanta,GA,33.773042000000004,-84.439369
