file,housing_concern_count,total_students
761 - Willis A. Sutton Middle School.xls,70,1363
761 - The Kindezi School.xls,12,115
761 - D. M. Therrell High School.xls,60,1198
761 - John Lewis Invictus Academy.xls,38,649
761 - Westside Atlanta Charter School.xls,10,115
761 - Kindezi Old 4th Ward.xls,4,93
761 - Martin L. King Jr. Middle School.xls,50,877
761 - Wesley International Academy Charter.xls,15,275
761 - KIPP WAYS Academy Charter School.xls,17,297
761 - Centennial Place Academy _Charter_.xls,21,202
761 - Herman J. Russell West End Academy.xls,33,379
761 - Kipp Strive Charter School.xls,14,232
761 - Crawford Long Middle School.xls,31,608
761 - Benjamin E. Mays High School.xls,42,885
761 - Midtown High School.xls,64,1424
761 - Atlanta Classical Academy.xls,36,748
761 - Kipp Atlanta Collegiate Charter School.xls,42,645
761 - Maynard Jackson High School.xls,77,1223
761 - Judson Price Middle School.xls,24,227
761 - Frederick Douglass High School.xls,48,971
761 - Atlanta Neighborhood Charter - Middle.xls,45,504
761 - Jean Childs Young Middle School.xls,29,509
761 - KIPP Soul Academy.xls,22,234
761 - Carver High School.xls,17,455
761 - Woodson Park Academy School.xls,15,207
761 - Sylvan Hills Middle School.xls,24,397
761 - Booker T. Washington High School.xls,61,793
761 - Michael R. Hollis Innovation Academy.xls,20,172
761 - B.E.S.T Academy.xls,21,282
761 - North Atlanta High School.xls,82,1947
761 - Hillside Conant School.xls,9,83
761 - David T Howard Middle School.xls,49,909
761 - Ralph Bunche Middle School.xls,35,791
761 - South Atlanta High School.xls,56,923
761 - Carver High School Early College.xls,23,503
761 - Hank Aaron New Beginnings Academy.xls,10,191
761 - KIPP VISION Charter School.xls,14,238
761 - Coretta Scott King Young Women_s Leadership Academy.xls,33,346
