file,housing_concern_count,total_students
2023_761 - Carver High School Early College.xls,30,504
2024_761 - Carver High School.xls,17,455
2023_761 - Sylvan Hills Middle School.xls,18,265
2022_761 - Judson Price Middle School.xls,3,5
2024_761 - Sylvan Hills Middle School.xls,24,397
2022_761 - Sylvan Hills Middle School.xls,13,399
2024_761 - Judson Price Middle School.xls,24,227
2022_761 - G.W. Carver High School Early College.xls,42,572
2023_761 - Judson Price Middle School.xls,0,2
2022_761 - Carver High School.xls,6,69
2023_761 - Carver High School.xls,11,221
2024_761 - Carver High School Early College.xls,23,503
